"STATISTIÈNA REGIJA";"TIP LASTNIŠTVA";"VRSTA STAVBE";"LETO";"Število prebivalcev"
"Pomurska";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";1336
"Pomurska";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";1096
"Pomurska";"Stanovanja z drugimi tipi lastništva";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";1381
"Pomurska";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2011";589
"Pomurska";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2015";557
"Pomurska";"Stanovanja z drugimi tipi lastništva";"2 Stanovanja v nestanovanjskih stavbah";"2018";544
"Podravska";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2011";312840
"Podravska";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2015";310938
"Podravska";"Tip lastništva -SKUPAJ";"Vrsta stavbe - SKUPAJ";"2018";308768
"Podravska";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2011";304474
"Podravska";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2015";302424
"Podravska";"Tip lastništva -SKUPAJ";"1 Stanovanja v stanovanjskih stavbah";"2018";299929
"Podravska";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2011";204587
"Podravska";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2015";205797
"Podravska";"Tip lastništva -SKUPAJ";"1.1 Stanovanja v  enostanovanjskih stavbah";"2018";204756
"Podravska";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2011";16416
"Podravska";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2015";14686
"Podravska";"Tip lastništva -SKUPAJ";"1.2 Stanovanja v dvostanovanjskih stavbah";"2018";14274
"Podravska";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2011";83471
"Podravska";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2015";81941
"Podravska";"Tip lastništva -SKUPAJ";"1.3 Stanovanja v tro- ali veè stanovanjskih stavbah";"2018";80899
"Podravska";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2011";8366
"Podravska";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2015";8514
"Podravska";"Tip lastništva -SKUPAJ";"2 Stanovanja v nestanovanjskih stavbah";"2018";8839
"Podravska";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2011";261326
"Podravska";"Lastniška stanovanja";"Vrsta stavbe - SKUPAJ";"2015";265977
